Name,Author,Year,Genre
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,2012,Fiction
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,2013,Fiction
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,2012,Fiction
Fire and Fury: Inside the Trump White House,Michael Wolff,2018,Non Fiction
First 100 Words,Roger Priddy,2014,Non Fiction
First 100 Words,Roger Priddy,2015,Non Fiction
First 100 Words,Roger Priddy,2016,Non Fiction
First 100 Words,Roger Priddy,2017,Non Fiction
First 100 Words,Roger Priddy,2018,Non Fiction
Food Rules: An Eater's Manual,Michael Pollan,2010,Non Fiction
Frozen (Little Golden Book),RH Disney,2014,Fiction
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,2010,Non Fiction
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,2011,Fiction
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,2012,Fiction
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,2013,Fiction
George Washington's Sacred Fire,Peter A. Lillback,2010,Non Fiction
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,2013,Non Fiction
Giraffes Can't Dance,Giles Andreae,2015,Fiction
Giraffes Can't Dance,Giles Andreae,2016,Fiction
Giraffes Can't Dance,Giles Andreae,2017,Fiction
Giraffes Can't Dance,Giles Andreae,2018,Fiction
Giraffes Can't Dance,Giles Andreae,2019,Fiction
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,2019,Non Fiction
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,2018,Non Fiction
